UserID,SegmentID,Start,End,# Interactions,# Documents Opened,Opened Documents,OpenDuration,# Documents Read,Read Documents,ReadDuration,# Documents Dragged,Dragged Documents,DraggingDuration,Most Read Document,# Highlighted,Highlighted Words,HighlightingDuration,# Searched,Searched Words,SearchDuration
1,1,0,112.7,4,0,[],0,0,[],0,2,['Armsdealing 97' 'Armsdealing 98'],1.9,NA,0,[],0,2,"['disease', 'Nigeria']",2
1,2,112.7,438.9,26,8,['Armsdealing 79' 'Armsdealing 81' 'Armsdealing 97'],426,9,['Armsdealing 79' 'Armsdealing 81'],273.8,7,['Armsdealing 79' 'Armsdealing 81' 'Armsdealing 97'],5.5,Armsdealing 81,1,['FUNSHO KAPOLALUM'],1,1,['gun'],1
1,3,438.9,586.1,18,1,['Armsdealing 98'],42.6,8,['Armsdealing 97' 'Armsdealing 98'],111.9,4,['Armsdealing 79' 'Armsdealing 81' 'Armsdealing 97' 'Armsdealing 98'],2.8,Armsdealing 97,2,"['Kenya', 'Also recovered were 150 guns']",2,3,"['nigeria', 'gun']",3
1,4,586.1,590.8,1,0,[],0,0,[],0,0,[],0,NA,0,[],0,1,['kenya'],1
1,5,590.8,636.6,6,1,['Armsdealing 100'],35.7,1,['Armsdealing 100'],3.2,1,['Armsdealing 98'],1,Armsdealing 100,0,[],0,3,"['gun', 'nigeria', 'nigeria gun']",3
1,6,636.6,655.5,6,1,['Armsdealing 84'],23.3,1,['Armsdealing 100'],1.5,2,['Armsdealing 100' 'Armsdealing 84'],1.5,Armsdealing 100,0,[],0,2,"['nigeria + gun', 'nigeria']",2
1,7,655.5,663.7,3,0,[],0,1,['Armsdealing 84'],0.5,0,[],0,Armsdealing 84,0,[],0,2,"['gun', 'nigeria']",2
1,8,663.7,673.4,1,0,[],0,0,[],0,0,[],0,NA,0,[],0,1,['gun'],1
1,9,673.4,680.7,3,1,['Armsdealing 65'],240.3,0,[],0,2,['Armsdealing 65'],1.8,NA,0,[],0,0,[],0
1,10,680.7,851.6,11,1,['Armsdealing 97'],5.3,6,['Armsdealing 65'],146.2,0,[],0,Armsdealing 65,1,"['February 1, 2009']",1,3,"['nigeria', 'gun']",3
1,11,851.6,964.8,8,3,['Armsdealing 79' 'Armsdealing 91' 'Armsdealing 97'],74.3,0,[],0,4,['Armsdealing 65'],3.4,NA,0,[],0,1,['gun'],1
1,12,964.8,972.2,4,1,['Armsdealing 72'],13.2,2,['Armsdealing 91'],1.2,1,['Armsdealing 72'],1.6,Armsdealing 91,0,[],0,0,[],0
1,13,972.2,1270.9,30,7,['Armsdealing 65' 'Armsdealing 72' 'Armsdealing 79' 'Armsdealing 95'],404.4,7,['Armsdealing 72' 'Armsdealing 95'],71.8,6,['Armsdealing 72' 'Armsdealing 95'],9.3,Armsdealing 72,0,[],0,10,"['nigeria', 'gun', 'disease', 'spread', 'epidimic', 'sickness', 'Dr. George']",10
1,14,1270.9,1274.2,2,1,['Armsdealing 84'],199.4,1,['Armsdealing 95'],0.5,0,[],0,Armsdealing 95,0,[],0,0,[],0
1,15,1274.2,1358.6,12,1,['Armsdealing 79'],9.7,10,['Armsdealing 84' 'Armsdealing 95'],45.7,1,['Armsdealing 84'],0.9,Armsdealing 95,0,[],0,0,[],0
1,16,1358.6,1460.1,9,0,[],0,8,['Armsdealing 84' 'Armsdealing 95'],90.3,1,['Armsdealing 84'],2.6,Armsdealing 95,0,[],0,0,[],0
1,17,1460.1,1907.8,51,14,"['Armsdealing 100' 'Armsdealing 24' 'Armsdealing 65' 'Armsdealing 72'
 'Armsdealing 79' 'Armsdealing 81' 'Armsdealing 84' 'Armsdealing 85'
 'Armsdealing 95' 'Armsdealing 97']",3508.2,20,"['Armsdealing 100' 'Armsdealing 24' 'Armsdealing 72' 'Armsdealing 84'
 'Armsdealing 85' 'Armsdealing 95']",289.2,10,"['Armsdealing 24' 'Armsdealing 65' 'Armsdealing 72' 'Armsdealing 84'
 'Armsdealing 85']",14.6,Armsdealing 84,5,"['10 March 2009', '2 DECEMBER 2009', '11 February 2009', ' 7 DECEMBER 2008', '2 JANUARY 2009']",5,2,"['weapon', 'nigeria']",2
1,18,1907.8,1912.8,1,0,[],0,0,[],0,0,[],0,NA,0,[],0,1,['russia'],1
1,19,1912.8,1917.6,1,1,['Armsdealing 80'],33,0,[],0,0,[],0,NA,0,[],0,0,[],0
1,20,1917.6,2031.3,8,1,['Armsdealing 77'],34.5,2,['Armsdealing 77' 'Armsdealing 80'],11.4,3,['Armsdealing 77' 'Armsdealing 80'],3.5,Armsdealing 80,1,"['20 September, 2008.']",1,1,['sickness'],1
1,21,2031.3,2040.3,1,0,[],0,0,[],0,0,[],0,NA,0,[],0,1,['firearms'],1
1,22,2040.3,2110.7,12,4,['Armsdealing 71' 'Armsdealing 75' 'Armsdealing 76' 'Armsdealing 96'],43.1,0,[],0,7,['Armsdealing 71' 'Armsdealing 75' 'Armsdealing 76' 'Armsdealing 96'],6,NA,0,[],0,1,['weapon'],1
1,23,2110.7,2140.2,3,1,['Armsdealing 68'],58.9,0,[],0,1,['Armsdealing 68'],1,NA,0,[],0,1,['illegal'],1
1,24,2140.2,2217.7,3,0,[],0,1,['Armsdealing 68'],15.6,1,['Armsdealing 68'],1.7,Armsdealing 68,0,[],0,1,['iran'],1
1,25,2217.7,2229.8,2,1,['Armsdealing 64'],18.4,0,[],0,1,['Armsdealing 64'],0.7,NA,0,[],0,0,[],0
1,26,2229.8,2260.5,1,0,[],0,0,[],0,0,[],0,NA,0,[],0,1,['syria'],1
1,27,2260.5,2263.8,1,1,['Armsdealing 71'],9.8,0,[],0,0,[],0,NA,0,[],0,0,[],0
1,28,2263.8,2304.5,4,0,[],0,0,[],0,0,[],0,NA,0,[],0,4,"['lagos', 'nigeria', 'boyo', 'mikhail']",4
1,29,2304.5,2341.4,3,1,['Armsdealing 65'],8.8,0,[],0,0,[],0,NA,0,[],0,2,"['dombrovski\\', 'dombrovski']",2
1,30,2341.4,2485.1,15,4,['Armsdealing 55' 'Armsdealing 65' 'Armsdealing 69'],232.5,1,['Armsdealing 69'],32.1,3,['Armsdealing 55' 'Armsdealing 69'],3.6,Armsdealing 69,0,[],0,7,"['minsky', 'misky', 'minskt', 'lenoid', 'leonid', 'may 2009']",7
1,31,2485.1,2651.9,11,2,['Armsdealing 56' 'Armsdealing 70'],52.9,2,['Armsdealing 55'],96.4,5,['Armsdealing 56' 'Armsdealing 70'],4.3,Armsdealing 55,1,['/Dubai/Burj-Al-Arab'],1,1,['dubai'],1
1,32,2651.9,2661.3,2,1,['Armsdealing 52'],54.7,0,[],0,1,['Armsdealing 52'],0.9,NA,0,[],0,0,[],0
1,33,2661.3,2819.3,17,3,['Armsdealing 25' 'Armsdealing 55'],259.7,5,['Armsdealing 25' 'Armsdealing 52'],125.4,6,['Armsdealing 25' 'Armsdealing 52'],5,Armsdealing 25,2,"['Dubai', 'Dubai.']",2,1,['textbook'],1
1,34,2819.3,3107.2,30,5,['Armsdealing 10' 'Armsdealing 17' 'Armsdealing 55'],221.6,11,['Armsdealing 10' 'Armsdealing 17' 'Armsdealing 25'],153.3,10,"['Armsdealing 10' 'Armsdealing 17' 'Armsdealing 25' 'Armsdealing 52'
 'Armsdealing 55']",17.3,Armsdealing 10,3,"['textbook', 'textbook', 'textbooks']",3,1,['textbook'],1
