UserID,SegmentID,Start,End,# Interactions,# Documents Opened,Opened Documents,OpenDuration,# Documents Read,Read Documents,ReadDuration,# Documents Dragged,Dragged Documents,DraggingDuration,Most Read Document,# Highlighted,Highlighted Words,HighlightingDuration,# Searched,Searched Words,SearchDuration
1,1,0,15.9,2,1,['Disappearance 4'],1841,0,[],0,0,[],0,NA,0,[],0,1,['pok'],1
1,2,15.9,292.2,11,1,['Disappearance 15'],67.5,4,['Disappearance 15' 'Disappearance 4'],225.5,4,['Disappearance 15' 'Disappearance 4'],15,Disappearance 4,0,[],0,2,"['employees', 'pok']",2
1,3,292.2,329.6,6,1,['Disappearance 15'],60.2,1,['Disappearance 15'],8.6,2,['Disappearance 15'],2.8,Disappearance 15,0,[],0,2,"['gastech', 'gas']",2
1,4,329.6,345.6,1,0,[],0,0,[],0,0,[],0,NA,0,[],0,1,['environment'],1
1,5,345.6,682.5,34,4,['Disappearance 31' 'Disappearance 37' 'Disappearance 74'],2645.2,19,"['Disappearance 15' 'Disappearance 31' 'Disappearance 37'
 'Disappearance 4']",260.8,9,"['Disappearance 15' 'Disappearance 31' 'Disappearance 37'
 'Disappearance 4']",10.9,Disappearance 4,2,"['Hundreds rural citizens suffer from important sicknesses which are apparently caused by exhibition to GAStech waste streams, although this no official gesubstantiërd have been or recognize by or the company or government', 'the healthy group of the knowledge of the water, health for all (WFA), has condemned international GAStech and the government of Kronos']",2,0,[],0
1,6,682.5,740.6,14,1,['Disappearance 75'],113,10,['Disappearance 37' 'Disappearance 4' 'Disappearance 74'],26.3,3,['Disappearance 74'],4.6,Disappearance 74,0,[],0,0,[],0
1,7,740.6,1237.1,65,6,"['Disappearance 105' 'Disappearance 108' 'Disappearance 109'
 'Disappearance 142' 'Disappearance 83' 'Disappearance 89']",510.6,45,"['Disappearance 108' 'Disappearance 109' 'Disappearance 142'
 'Disappearance 37' 'Disappearance 4' 'Disappearance 74'
 'Disappearance 75' 'Disappearance 83' 'Disappearance 89']",367.1,13,"['Disappearance 108' 'Disappearance 109' 'Disappearance 142'
 'Disappearance 75' 'Disappearance 83' 'Disappearance 89']",15.8,Disappearance 37,1,"[' The recent expenses of the subsoil water contamination against international GAStech and tightening environmental payments carry out by the interior minister of Tethan, Ivar Blanes, certainly play in the hearth of shift']",1,0,[],0
1,8,1237.1,1510.2,20,2,['Disappearance 110' 'Disappearance 25'],348.1,13,"['Disappearance 105' 'Disappearance 110' 'Disappearance 37'
 'Disappearance 4']",160,3,['Disappearance 105' 'Disappearance 110'],3,Disappearance 105,2,"['dozen protesters being present guards of gathering of Kronos (POK) in front of the regional registered offices of GAStech in Abila was stopped for enfreindre this morning', 'Sten Sanjorge, Jr declined to directly comment with respect to questions with respect protests and to the contamination of environment. It turned aside, is today a great day for GAStech. I will not let the day be made derail by infundado, border libelous, allegations.']",2,0,[],0
1,9,1510.2,1895.7,39,2,['Disappearance 25'],94.2,15,"['Disappearance 25' 'Disappearance 37' 'Disappearance 4'
 'Disappearance 74']",247.2,21,"['Disappearance 105' 'Disappearance 108' 'Disappearance 109'
 'Disappearance 110' 'Disappearance 25' 'Disappearance 31'
 'Disappearance 37' 'Disappearance 4' 'Disappearance 74'
 'Disappearance 75' 'Disappearance 83' 'Disappearance 89']",33,Disappearance 37,0,[],0,1,['employee'],1
1,10,1895.7,1952.6,6,1,['Disappearance 109'],506.5,0,[],0,4,"['Disappearance 109' 'Disappearance 25' 'Disappearance 31'
 'Disappearance 4']",6.4,NA,0,[],0,1,['coo'],1
1,11,1952.6,1994.6,8,1,['Disappearance 46'],190.8,5,['Disappearance 109'],20.5,0,[],0,Disappearance 109,0,[],0,2,"['Sanjorge', 'Fluss']",2
1,12,1994.6,2193.7,9,1,['Disappearance 2'],86.8,4,['Disappearance 46'],182.8,3,['Disappearance 2' 'Disappearance 46'],3.7,Disappearance 46,0,[],0,1,['Sanjorge'],1
1,13,2193.7,2492.5,31,4,"['Disappearance 2' 'Disappearance 64' 'Disappearance 75'
 'Disappearance 77']",114.6,16,"['Disappearance 109' 'Disappearance 2' 'Disappearance 64'
 'Disappearance 77']",195,7,"['Disappearance 109' 'Disappearance 2' 'Disappearance 46'
 'Disappearance 64' 'Disappearance 75']",9.4,Disappearance 2,1,"['The reporter they are levando in feet outside of the centers of GAStech that wait for the pictures of GAStech that they are believed that they appear in the hour. The CEO Sten Sanjorge di GAStech is celebrating the public offer begins them succeeded of its company, that last month has happened']",1,3,"['The reporter they are levando in feet outside of the centers of GAStech that wait for the pictures of GAStech that they are believed that they appear in the hour. The CEO Sten <span class=""highlight-pink"">Sanjorge</span> di GAStech is celebrating the public offer begins them succeeded of its company, that last month has happened', 'Sanjorge', 'gas']",3
1,14,2492.5,2512.4,3,2,['Disappearance 50' 'Disappearance 75'],18.2,0,[],0,0,[],0,NA,0,[],0,1,['cancer'],1
1,15,2512.4,2545.1,5,0,[],0,2,['Disappearance 50'],1.4,2,['Disappearance 50'],4.5,Disappearance 50,0,[],0,1,['pok'],1
1,16,2545.1,2610.5,7,2,['Disappearance 15' 'Disappearance 99'],435.8,2,['Disappearance 15'],44,2,['Disappearance 15' 'Disappearance 99'],3.4,Disappearance 15,0,[],0,1,['KAREL'],1
1,17,2610.5,2899.8,8,0,[],0,5,['Disappearance 15'],173.1,2,['Disappearance 15' 'Disappearance 99'],1.7,Disappearance 15,1,"['of June 19, Elian Karel died with unexplainable damage with the official cause of death. The report/ratio released by the death of Karel allotted of coroner of town of Abila in July 2010 to the sudden stop, and seeks it was enclosed soon then']",1,0,[],0
1,18,2899.8,3277.9,34,5,"['Disappearance 123' 'Disappearance 132' 'Disappearance 54'
 'Disappearance 7' 'Disappearance 90']",2072.1,14,['Disappearance 123' 'Disappearance 54' 'Disappearance 90'],189.2,11,"['Disappearance 123' 'Disappearance 132' 'Disappearance 15'
 'Disappearance 54' 'Disappearance 7' 'Disappearance 90']",15.7,Disappearance 90,1,"[' Abila police quickly secured the building and interviewed the remaining GAStech employees. One employee, Edvard Vann of Abila, was questioned for hours because he shares a family name with several known POK members. Vann denied involvement with the POK and claimed to have no knowledge of the kidnapping. ']",1,3,"['Vann', 'Edvard <span class=""highlight-pink"">Vann</span>', 'Edvard Vann']",3
1,19,3277.9,3782.9,36,4,['Disappearance 133' 'Disappearance 73' 'Disappearance 96'],135,18,"['Disappearance 133' 'Disappearance 7' 'Disappearance 73'
 'Disappearance 90' 'Disappearance 96']",216.2,10,"['Disappearance 133' 'Disappearance 141' 'Disappearance 15'
 'Disappearance 7' 'Disappearance 73' 'Disappearance 96']",15.4,Disappearance 90,0,[],0,4,"['kidnapping', 'kidnapp', 'refuse', 'explosion']",4
1,20,3782.9,4215.2,38,4,['Disappearance 12' 'Disappearance 138' 'Disappearance 143'],419.8,21,"['Disappearance 12' 'Disappearance 138' 'Disappearance 143'
 'Disappearance 90']",49.7,12,['Disappearance 12' 'Disappearance 138' 'Disappearance 143'],19.4,Disappearance 90,1,"['Rebecca Cato said, After sending us away without a single question answered, they came to our doors and told us to leave our homes']",1,0,[],0
1,21,4215.2,4246,13,2,['Disappearance 132' 'Disappearance 143'],7.2,6,['Disappearance 132' 'Disappearance 90'],5.8,4,['Disappearance 132' 'Disappearance 143' 'Disappearance 90'],8.3,Disappearance 90,0,[],0,1,['Cato'],1
